player,player_full_name,team_name,team_name2,cluster,stat,value
T. Woldetensae,Tomas Woldetensae,Virginia,UVA,3,fgp,0.347593582887701
V. Carey Jr.,Vernon Carey Jr.,Duke,Duke,4,fgp,0.576811594202899
W. Bede,Wabissa Bede,Virginia Tech,Virginia Tech,1,fgp,0.371951219512195
W. Moore Jr.,Wendell Moore Jr.,Duke,Duke,4,fgp,0.415584415584416
X. Johnson,Xavier Johnson,Pittsburgh,Pitt,1,fgp,0.372239747634069
A. Bacot,Armando Bacot,North Carolina,UNC,4,fg3p,0
A. Dawes,Al-Amir Dawes,Clemson,Clemson,1,fg3p,0.317880794701987
A. Harris,Anthony Harris,North Carolina,UNC,3,fg3p,0.428571428571429
A. Hemenway,Alex Hemenway,Clemson,Clemson,3,fg3p,0.476190476190476
A. O'Connell,Alex O'Connell,Duke,Duke,3,fg3p,0.272727272727273
A. Platek,Andrew Platek,North Carolina,UNC,3,fg3p,0.226415094339623
A. Polite,Anthony Polite,Florida State,Florida State,3,fg3p,0.354166666666667
A. Price,Asanti Price,Georgia Tech,Georgia Tech,3,fg3p,0.133333333333333
A. Simms,Aamir Simms,Clemson,Clemson,4,fg3p,0.4
A. Toney,Au'Diese Toney,Pittsburgh,Pitt,4,fg3p,0.333333333333333
A. Walker,Anthony Walker,Miami,Miami,2,fg3p,0.157894736842105
A. White,Andrien White,Wake Forest,Wake Forest,3,fg3p,0.375838926174497
B. Beverly,Braxton Beverly,NC State,NC State,3,fg3p,0.373134328358209
B. Boeheim,Buddy Boeheim,Syracuse,Syracuse,1,fg3p,0.370229007633588
B. Childress,Brandon Childress,Wake Forest,Wake Forest,1,fg3p,0.324675324675325
B. Key,Braxton Key,Virginia,UVA,4,fg3p,0.184615384615385
B. Koprivica,Balsa Koprivica,Florida State,Florida State,2,fg3p,0
B. Parham,Bubba Parham,Georgia Tech,Georgia Tech,3,fg3p,0.30952380952381
B. Robinson,Brandon Robinson,North Carolina,UNC,1,fg3p,0.36875
B. Sidibe,Bourama Sidibe,Syracuse,Syracuse,2,fg3p,0
C. Anthony,Cole Anthony,North Carolina,UNC,1,fg3p,0.343283582089552
C. Brown,Chaundee Brown,Wake Forest,Wake Forest,4,fg3p,0.322033898305085
C. Felder,CJ Felder,Boston College,Boston College,2,fg3p,0.161290322580645
C. Hunter,Chase Hunter,Clemson,Clemson,3,fg3p,0.304347826086957
C. Keeling,Christian Keeling,North Carolina,UNC,3,fg3p,0.326086956521739
C. Lykes,Chris Lykes,Miami,Miami,1,fg3p,0.380597014925373
C. Morsell,Casey Morsell,Virginia,UVA,3,fg3p,0.176470588235294
C. Scott,Curran Scott,Clemson,Clemson,3,fg3p,0.263888888888889
C. Stanley,Cassius Stanley,Duke,Duke,4,fg3p,0.36046511627907
C. Trapp,Clyde Trapp,Clemson,Clemson,3,fg3p,0.261538461538462
C.J. Bryce,C.J. Bryce,NC State,NC State,4,fg3p,0.333333333333333
D. Daniels,Devon Daniels,NC State,NC State,4,fg3p,0.32183908045977
D. Funderburk,DJ Funderburk,NC State,NC State,4,fg3p,0.222222222222222
D. Gak,Deng Gak,Miami,Miami,2,fg3p,0
D. Goodwin,Dane Goodwin,Notre Dame,Notre Dame,3,fg3p,0.376811594202899
D. Johnson,David Johnson,Louisville,Louisville,3,fg3p,0.217391304347826
D. Olejniczak,Dominik Olejniczak,Florida State,Florida State,2,fg3p,0
D. Perry,Darius Perry,Louisville,Louisville,3,fg3p,0.388888888888889
D. Sutton,Dwayne Sutton,Louisville,Louisville,4,fg3p,0.353658536585366
D. Thornton,Derryck Thornton,Boston College,Boston College,1,fg3p,0.26271186440678
D. Vasiljevic,Dejan Vasiljevic,Miami,Miami,3,fg3p,0.344339622641509
D. Vassell,Devin Vassell,Florida State,Florida State,4,fg3p,0.415094339622642
E. Cole,Evan Cole,Georgia Tech,Georgia Tech,2,fg3p,0.2
E. Hamilton,Eric Hamilton,Pittsburgh,Pitt,2,fg3p,0
E. Hughes,Elijah Hughes,Syracuse,Syracuse,1,fg3p,0.34061135371179
G. Brooks,Garrison Brooks,North Carolina,UNC,4,fg3p,0.285714285714286
H. Beverly,Harlond Beverly,Miami,Miami,3,fg3p,0.21875
H. Cattoor,Hunter Cattoor,Virginia Tech,Virginia Tech,3,fg3p,0.379310344827586
H. Tyson,Hunter Tyson,Clemson,Clemson,3,fg3p,0.321428571428571
I. Massoud,Ismael Massoud,Wake Forest,Wake Forest,3,fg3p,0.397590361445783
I. Mucius,Isaiah Mucius,Wake Forest,Wake Forest,3,fg3p,0.346153846153846
I. Wilkins,Isaiah Wilkins,Virginia Tech,Virginia Tech,3,fg3p,0.28
I. Wong,Isaiah Wong,Miami,Miami,3,fg3p,0.372549019607843
J. Alvarado,Jose Alvarado,Georgia Tech,Georgia Tech,1,fg3p,0.336
J. Baehre,Jonathan Baehre,Clemson,Clemson,3,fg3p,0
J. Baker,Joey Baker,Duke,Duke,3,fg3p,0.394366197183099
J. Banks III,James Banks III,Georgia Tech,Georgia Tech,4,fg3p,0
J. Carey,Jalen Carey,Syracuse,Syracuse,3,fg3p,0
